period,duration,depth,planet_radius,stellar_temperature,stellar_gravity,stellar_radius,magnitude,snr,equilibrium_temp,disposition
8.884922995,2.07004,16053,10.51,5332,4.5,0.843,15.264,388.2,770,1
8.09888906,4.20241,6911.1,8.95,6214,4.442,1.076,15.261,435.9,986,1
10.00653012,5.344,936.1,3.52,6063,4.47,1.001,15.063,71.9,876,1
17.85522168,7.41287,9065.2,13.16,6823,4.308,1.367,11.353,915.7,911,1
12.73262407,2.2083,6465.7,4.87,3950,4.721,0.541,15.75,210.5,432,2
83.92494032,6.7904,7958.7,4.78,3960,4.746,0.509,15.754,182.1,226,2
5.007316661,4.2362,6932.3,6.96,5865,4.563,0.827,15.813,431.4,998,1
2.211116989,1.6485,724.2,1.85,4500,4.656,0.646,15.791,42.6,931,1
27.9541337,3.95,942.5,1.9,4500,4.656,0.646,15.791,25.4,400,1
12.69104387,3.7727,252.1,2.57,5869,4.024,1.626,12.935,60.2,1008,1
4.409409243,3.8636,12861,10.95,5600,4.368,0.975,15.403,85.8,1101,0
16.23947096,4.0374,2590.7,4.14,5191,4.564,0.837,15.258,123.8,598,1
6.308201629,2.9785,1328.5,2.96,5191,4.564,0.837,15.258,86.2,819,1
2.052349884,2.0778,14281,13.12,5855,4.393,1.08,15.257,1072.1,1497,1
9.7704486,2.4517,1897.8,2.23,3906,4.73,0.509,15.777,58,460,1
5.169804269,2.153,1037.4,1.66,3906,4.73,0.509,15.777,41.4,569,1
21.22261195,6.5093,366,2.48,5945,4.213,1.302,12.365,114.9,771,1
20.09017037,4.154,1432.1,2.25,3906,4.73,0.509,15.777,36.9,362,1
7.11373257,2.1764,807.6,1.16,3561,4.855,0.411,15.234,44.4,429,1
3.306551643,1.8177,509.2,0.91,3561,4.855,0.411,15.234,37.8,554,1
15.36845737,2.4714,756.1,1.11,3561,4.855,0.411,15.234,30.9,332,1
13.81020318,3.048,1309.7,4.56,5942,4.327,1.142,15.425,46.2,833,1
4.093578461,2.5833,538.6,2.85,6077,4.471,0.999,15.399,36.4,1182,1
105.145959,8.593,685.4,3.43,6077,4.471,0.999,15.399,15.4,401,1
10.8484518,2.9993,1675.6,2.34,4201,4.682,0.591,15.058,64.5,499,1
6.66833241,1.915,362.3,1.18,4201,4.682,0.591,15.058,14.2,587,1
4.082274889,3.23015,17859,10.55,5655,4.581,0.794,15.198,1669.1,1016,1
3.886655224,3.1646,581.6,1.87,5662,4.61,0.738,15.371,48.1,1010,2
42.1406089,5.083,895.5,1.85,4500,4.656,0.646,15.791,21.6,349,1
4.617490562,2.2618,575.8,1.62,4500,4.656,0.646,15.791,28.1,728,1
10.19849255,2.4283,634.1,1.75,4500,4.656,0.646,15.791,21.4,559,1
5.795063956,3.2496,1692.9,4.33,5865,4.563,0.827,15.289,119.4,950,0
7.15681552,2.5882,867,2.47,5029,4.494,0.838,15.46,47.7,782,1
17.64830851,2.0873,763.3,2.43,5029,4.494,0.838,15.46,23.8,579,1
4.14810719,2.535,175.2,1.08,5029,4.494,0.838,15.46,12.9,938,1
16.51410989,4.1575,973.5,2.72,5527,4.488,0.866,15.223,55.9,655,1
30.1329298,5.172,1015.8,3.14,5527,4.488,0.866,15.223,44.8,536,1
4.79090809,2.603,251.3,1.36,5527,4.488,0.866,15.223,21.2,990,1
31.71981013,4.819,363.4,3.09,5869,4.024,1.626,12.935,63.1,743,1
99.6415962,4.448,952.5,2.64,5527,4.488,0.866,15.223,22.7,360,1
4.708326451,3.16114,7912.7,10.6,5560,4.246,1.21,15.113,633.4,1162,1
16.37198661,3.8449,4147.6,540.37,4187,4.656,0.592,15.654,54.5,438,0
5.392026903,2.9804,1151.4,2.68,5198,4.589,0.801,15.651,77.4,850,1
2.494170338,1.1221,863.7,2.42,5569,4.566,0.829,15.251,69.2,1194,2
6.491682808,4.301,7163.3,9.66,6123,4.413,1.107,15.649,502.3,1062,1
3.044770796,10.0134,1695,24.54,5525,4.603,0.753,15.621,203.5,1076,0
3.855603916,3.2179,16653,13.61,6033,4.46,1.046,15.272,1173.9,1212,1
3.855599139,3.183,1030.9,3.57,5936,4.501,0.965,15.054,90.1,1158,0
38.47876629,5.04169,23530,13.26,5510,4.539,0.879,13.779,1077.8,484,1
37.60166128,8.30604,59130,27.22,6140,4.354,1.096,15.505,1667.3,606,0
3.314947362,1.8007,1398.2,3.94,5609,4.481,0.944,15.142,123.5,1155,1
6.71969089,3.0231,969.7,4.37,5931,4.479,0.866,15.172,45.4,952,0
39.6431552,6.5292,15664,10.98,5231,4.455,0.9,15.011,690.3,472,1
51.42598578,16.9422,66068,29.66,6257,4.41,1.147,15.631,1843.8,549,0
21.80451611,3.4097,1144.9,2.6,5481,4.629,0.708,15.067,49.9,543,1
10.28194593,3.4366,1110.7,2.53,5196,4.593,0.775,15.532,55,680,1
