koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_model_snr,koi_teq
0,5.97581754,3.065,9.6240e+02,3.86,6108,4.471,0.997,15.546,50.3,1047
0,2.446737317,4.7211,1.1779e+03,26.25,5764,4.548,0.863,15.021,110.2,1261
1,3.04033046,1.8411,1.0859e+04,8.99,5035,4.519,0.791,15.028,568.2,1021
1,15.33528675,3.897,3.0814e+03,5,5251,4.581,0.817,15.855,86.6,610
1,7.95825328,4.377,5.0000e+01,1.06,5847,4.191,1.402,12.487,14.7,1074
1,31.33046135,5.176,5.0738e+03,6.5,5251,4.581,0.817,15.855,117.2,481
0,3.9043425,3.831,1.6228e+04,12.28,5810,4.526,0.898,15.016,323.4,1104
0,9.286358079,3.49949,4.4791e+04,17.61,5670,4.523,0.821,15.365,1671.1,796
0,3.951405455,2.1862,2.4539e+03,31.44,6046,4.539,0.869,15.446,117.2,1133
1,23.65369415,8.2183,3.3418e+03,7.89,5739,4.191,1.384,15.084,266.3,731
1,13.23352214,6.7372,5.0460e+02,3.06,5739,4.191,1.384,15.084,49.1,888
1,6.15560285,4.9843,2.8500e+02,2.32,5739,4.191,1.384,15.084,35.1,1146
1,2.090811305,3.388,1.1590e+02,1.62,5739,4.191,1.384,15.084,19.9,1642
1,3.180027898,3.5797,1.2030e+02,1.53,5847,4.191,1.402,12.487,50.4,1458
1,50.4467417,7.159,3.7030e+02,2.67,5739,4.191,1.384,15.084,19.4,568
1,11.76307164,2.9076,1.0373e+03,2.35,4959,4.603,0.756,15.208,48.9,616
1,56.2279271,3.57,8.6270e+02,2.37,4959,4.603,0.756,15.208,20.9,366
0,2.384052875,3.0918,1.2681e+03,17.06,4794,4.58,0.701,15.836,50.5,1010
1,7.953547,2.6312,8.7540e+02,2.25,4768,4.536,0.779,15.66,38.4,696
1,4.14451656,2.3421,3.9180e+02,1.48,4768,4.536,0.779,15.66,22.8,864
0,4.859386384,2.2757,6.0443e+03,38.33,6072,4.47,0.988,15.311,269.7,1114
1,10.52629458,2.5211,9.7680e+03,8.24,5386,4.553,0.793,15.305,482.3,713
1,4.583520948,2.7055,3.8121e+03,5.39,5815,4.54,0.877,15.287,99.5,1038
1,3.76181843,3.5176,5.1060e+02,2.66,5653,4.472,0.949,15.257,35.9,1121
1,8.20396958,2.9667,1.0244e+03,3.01,5015,4.499,0.826,15.376,54.4,742
1,14.49645186,4.016,6.4750e+02,3.01,5015,4.499,0.826,15.376,25.7,613
1,6.54626149,2.75,6.5590e+02,2.19,5251,4.581,0.817,15.855,24.8,810
1,12.71809866,3.0957,1.1494e+03,2.31,4702,4.592,0.686,15.389,52.7,562
1,36.06588163,4.3246,1.5638e+03,2.64,4702,4.592,0.686,15.389,51.7,397
1,4.190425659,2.8589,2.8774e+03,6.21,6073,4.392,1.135,15.27,240.6,1234
1,3.709870784,3.0694,2.0203e+03,4.35,5727,4.463,0.978,15.581,116.1,1151
1,16.3297527,6.271,1.1875e+03,3.75,5878,4.444,0.987,15.447,74.6,727
1,27.80756622,4.21587,2.5391e+04,13.84,5862,4.584,0.785,15.482,748.1,554
1,80.8723469,11.195,3.6046e+03,7.59,5510,4.222,1.238,15.201,160.9,452
0,3.166465862,2.9381,4.3572e+03,26.82,4968,4.575,0.704,15.999,122.1,954
1,24.99324319,5.9409,2.6960e+02,2.29,5718,4.181,1.317,12.377,62,712
1,10.35533116,3.1775,7.5060e+02,2.47,5501,4.462,0.918,15.018,49.2,777
1,16.08518937,3.984,1.4424e+03,3.68,5239,4.523,0.826,15.219,62.6,613
2,235.9986399,8.2284,2.0715e+04,10.59,4245,4.627,0.657,15.172,271.8,188
1,7.49018305,2.7297,1.1236e+03,2.56,5103,4.562,0.787,15.599,53,753
1,36.2761238,4.7865,1.5726e+03,3.03,5103,4.562,0.787,15.599,45.5,445
1,17.46087931,2.2641,8.1240e+02,2.32,5103,4.562,0.787,15.599,22.6,568
1,56.0560754,4.685,1.6260e+03,1.94,3593,4.757,0.491,15.849,27.4,233
1,41.40831669,5.0264,2.2839e+04,11.38,5522,4.586,0.747,15.196,907.8,453
2,39.74893077,7.3051,1.5179e+04,14.21,6122,4.487,0.964,15.344,561.1,552
1,5.715425977,2.5242,9.0810e+02,2.47,5237,4.572,0.826,15.086,59.4,850
1,49.18394185,11.3364,1.6462e+03,8.2,5626,3.907,2.057,12.654,355.7,669
1,20.0261412,1.611,4.2120e+02,2.28,5237,4.572,0.826,15.086,10.7,559
2,13.61014819,2.594,5.7329e+03,19.02,5697,4.46,0.903,15.06,184.1,733
0,10.44331991,2.743,1.1598e+03,2.66,4947,4.516,0.802,15.546,51.7,667
1,2.237489571,1.8119,3.1580e+02,1.41,5265,4.58,0.81,15.001,30.7,1160
0,5.851520671,3.11058,3.3004e+04,14.62,5532,4.53,0.806,15.33,1630.4,901
1,3.167893418,2.1814,7.8120e+02,2.62,5895,4.503,0.94,15.533,64.8,1221
1,4.311780262,2.7251,1.1540e+03,3.11,5527,4.484,0.927,15.604,86.1,1038
1,20.0504494,4.556,8.4090e+02,2.69,5527,4.484,0.927,15.604,37.8,622
1,9.76734503,1.6585,5.6910e+02,2.67,5527,4.484,0.927,15.604,21.1,791
2,119.0207044,8.1405,7.4305e+03,8.98,5453,4.342,1.062,15.085,223.5,366
1,190.3200468,15.284,1.1417e+03,7.78,5626,3.907,2.057,12.654,139.3,426
0,2.861159894,1.8832,1.0143e+03,4.37,6126,4.458,1.021,15.618,58.3,1355
1,26.44439337,3.9783,1.8435e+03,3.91,5427,4.463,0.929,15.158,88,562
1,51.53997972,6.3994,3.6443e+03,5.51,5427,4.463,0.929,15.158,155.5,450
1,5.902245782,2.9003,7.0230e+02,2.43,5427,4.463,0.929,15.158,59.3,926
1,2.382951591,1.8876,3.9160e+02,1.86,5427,4.463,0.929,15.158,41.4,1253
1,21.02250608,4.1072,1.7725e+03,3.07,5067,4.585,0.75,15.859,62.4,521
1,3.219814777,2.0642,4.8820e+02,1.69,5103,4.562,0.787,15.599,30.5,998
1,5.912273234,2.3254,9.6140e+02,1.73,4072,4.696,0.57,15.036,62.8,585
1,8.98581901,2.8606,8.8130e+02,1.65,4072,4.696,0.57,15.036,51.8,509
2,12.94066866,2.4845,4.2450e+04,22.94,5875,4.572,0.809,15.215,307.5,723
0,20.5452375,2.517,2.1850e+02,2.41,5670,4.206,1.264,12.003,18.5,742
1,33.60123371,4.4056,7.4259e+03,8.46,5149,4.447,0.93,15.262,247.9,495
1,6.76652928,2.9004,4.5070e+02,1.97,5149,4.447,0.93,15.262,29.2,845
1,4.347288783,2.1024,4.5160e+02,2.36,5754,4.345,1.122,15.024,39.7,1174
1,4.601811819,2.2607,7.5590e+02,2.35,4986,4.496,0.833,15.024,60.8,896
1,11.18719905,3.252,3.5360e+02,1.55,4986,4.496,0.833,15.024,21.9,667
1,4.220965778,3.0854,2.2600e+03,2.62,3837,4.747,0.517,15.692,157.8,595
0,6.998099523,2.0488,2.0285e+04,588.66,5612,4.566,0.829,15.877,192.3,853
1,5.95489993,2.3892,1.4107e+03,2.33,4261,4.641,0.633,15.019,87.2,635
1,12.03987488,2.7363,1.2506e+03,2.18,4261,4.641,0.633,15.019,57.6,502
1,20.83762895,2.3734,4.3900e+02,1.42,4261,4.641,0.633,15.019,14.9,418
0,8.8111022,5.0683,4.0110e+02,63.66,6200,3.8,2.404,12.759,76.8,1399
1,23.58917143,5.073,1.2007e+03,3.16,4919,4.566,0.721,15.316,53.3,487
1,6.481633073,3.784,2.9850e+02,2.54,5945,4.213,1.302,12.365,125.6,1145
1,10.37168928,3.035,1.2549e+03,3.2,5121,4.457,0.888,15.193,64.5,720
1,3.96996298,1.1757,2.9920e+02,1.78,5121,4.457,0.888,15.193,15,992
1,4.40841331,5.012,5.4940e+02,2.66,6007,4.457,0.961,15.662,45.1,1139
0,7.9426176,6.703,1.5907e+03,4.68,5811,4.521,0.926,15.26,60.4,878
1,226.8904775,7.558,3.1364e+03,4.53,5067,4.585,0.75,15.859,46.8,236
0,1.956811408,2.1958,2.4905e+04,21.58,5209,4.657,0.603,15.533,125.4,1109
2,2.688899233,2.11275,3.7492e+04,12.04,4820,4.667,0.639,15.766,1011.6,929
1,9.439459486,2.8979,3.0361e+03,4.16,5097,4.597,0.779,15.067,175.2,686
1,11.52306746,3.8757,5.0730e+02,3.13,5644,4.162,1.411,12.346,142,927
1,20.47748843,2.8364,1.3824e+03,2.92,5097,4.597,0.779,15.067,52.7,530
1,3.336123113,1.9616,5.1630e+02,1.74,5097,4.597,0.779,15.067,41.6,970
1,8.01078456,2.312,1.3336e+03,1.72,3713,4.779,0.47,15.847,48.5,453
1,12.07134205,4.3224,7.5920e+02,1.29,3713,4.779,0.47,15.847,31,395
1,20.99587872,2.6333,7.6730e+02,1.3,3713,4.779,0.47,15.847,18.2,328
1,7.41113177,2.5242,6.2050e+02,2.45,5849,4.517,0.919,15.031,50.4,905
0,1.000747038,0.9967,1.8235e+03,4.14,5472,4.499,0.79,15.419,147.4,1620
1,8.884922995,2.07004,1.6053e+04,10.51,5332,4.5,0.843,15.264,388.2,770
1,8.09888906,4.20241,6.9111e+03,8.95,6214,4.442,1.076,15.261,435.9,986
1,10.00653012,5.344,9.3610e+02,3.52,6063,4.47,1.001,15.063,71.9,876
1,17.85522168,7.41287,9.0652e+03,13.16,6823,4.308,1.367,11.353,915.7,911
2,12.73262407,2.2083,6.4657e+03,4.87,3950,4.721,0.541,15.75,210.5,432
2,83.92494032,6.7904,7.9587e+03,4.78,3960,4.746,0.509,15.754,182.1,226
1,5.007316661,4.2362,6.9323e+03,6.96,5865,4.563,0.827,15.813,431.4,998
1,2.211116989,1.6485,7.2420e+02,1.85,4500,4.656,0.646,15.791,42.6,931
1,27.9541337,3.95,9.4250e+02,1.9,4500,4.656,0.646,15.791,25.4,400
1,12.69104387,3.7727,2.5210e+02,2.57,5869,4.024,1.626,12.935,60.2,1008
0,4.409409243,3.8636,1.2861e+04,10.95,5600,4.368,0.975,15.403,85.8,1101
1,16.23947096,4.0374,2.5907e+03,4.14,5191,4.564,0.837,15.258,123.8,598
1,6.308201629,2.9785,1.3285e+03,2.96,5191,4.564,0.837,15.258,86.2,819
1,2.052349884,2.0778,1.4281e+04,13.12,5855,4.393,1.08,15.257,1072.1,1497
1,9.7704486,2.4517,1.8978e+03,2.23,3906,4.73,0.509,15.777,58,460
1,5.169804269,2.153,1.0374e+03,1.66,3906,4.73,0.509,15.777,41.4,569
1,21.22261195,6.5093,3.6600e+02,2.48,5945,4.213,1.302,12.365,114.9,771
1,20.09017037,4.154,1.4321e+03,2.25,3906,4.73,0.509,15.777,36.9,362
1,7.11373257,2.1764,8.0760e+02,1.16,3561,4.855,0.411,15.234,44.4,429
1,3.306551643,1.8177,5.0920e+02,0.91,3561,4.855,0.411,15.234,37.8,554
1,15.36845737,2.4714,7.5610e+02,1.11,3561,4.855,0.411,15.234,30.9,332
1,13.81020318,3.048,1.3097e+03,4.56,5942,4.327,1.142,15.425,46.2,833
1,4.093578461,2.5833,5.3860e+02,2.85,6077,4.471,0.999,15.399,36.4,1182
1,105.145959,8.593,6.8540e+02,3.43,6077,4.471,0.999,15.399,15.4,401
1,10.8484518,2.9993,1.6756e+03,2.34,4201,4.682,0.591,15.058,64.5,499
1,6.66833241,1.915,3.6230e+02,1.18,4201,4.682,0.591,15.058,14.2,587
1,4.082274889,3.23015,1.7859e+04,10.55,5655,4.581,0.794,15.198,1669.1,1016
2,3.886655224,3.1646,5.8160e+02,1.87,5662,4.61,0.738,15.371,48.1,1010
1,42.1406089,5.083,8.9550e+02,1.85,4500,4.656,0.646,15.791,21.6,349
1,4.617490562,2.2618,5.7580e+02,1.62,4500,4.656,0.646,15.791,28.1,728
1,10.19849255,2.4283,6.3410e+02,1.75,4500,4.656,0.646,15.791,21.4,559
0,5.795063956,3.2496,1.6929e+03,4.33,5865,4.563,0.827,15.289,119.4,950
1,7.15681552,2.5882,8.6700e+02,2.47,5029,4.494,0.838,15.46,47.7,782
1,17.64830851,2.0873,7.6330e+02,2.43,5029,4.494,0.838,15.46,23.8,579
