tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_teff,st_logg,st_rad,pl_eqt
0,7.04083,2.979,1580,8.46404,9.7906,5317,4.49,0.91,1505
1,2.1061569,1.4688934,12142.22385,13.086872,13.183,5380,4.4337,0.940697,1308.041753
0,2.4545635,2.321,4248,11.1276,9.6789,6610,4.15,1.64,1899
0,11.4756978,0.808,8341,14.1098,9.3871,7262,4,2.13,512
0,2.78186,2.456,490,4.92567,9.5162,6819,3.92,2.21,1680
0,6.4410082,1.798,7076,4.59203,9.66865,3469,4.71,0.53,471
2,2.4887726,2.632,4852,,8.1129,8048,4.438,,1344.953181
2,4.45199,2.109,8483.38,15.8858,10.526,6708.3,4.2,1.57,1571
2,5.0100708,2.0644756,409.4812214,2.3107394,9.5268,5551,4.46214,0.906282,971.6657708
2,2.2281625,2.015,630,2.56778,10.4055,5731,4.43,1.02,1434
0,4.13812,3.911,5560,,10.5084,4898.4,,,1386
2,10.95663,3.588,3830,23.9726,10.5024,6456,3.92,2.07,1389
1,2.4997996,2.865171,14621.20596,13.8516093,11.6035,5650,4.28867,1.13732,1399.989438
0,1.66226,3.321,6030,13.3343,10.4063,7301,4.23,1.64,2561
0,4.07611,2.062,1454.18,,11.0605,,,,
0,3.6245513,3.042,1299,4.3503,10.2934,6317,,1.38,
2,1.20928,1.886,11883.8,15.1764,10.2398,5159.8,4.23,1.27,
2,3.5187707,2.408,5634,14.0061,7.2235,6690,4.24,1.49,1863
2,0.7724825,1.3744974,211.3168519,4.1624907,8.0465,8271,3.95,2.5027299,3996.287792
0,1.6268695,3.231,1502,2.36498,10.3579,5034,4.64,0.73,1850
0,2.32439,4.453,2704.18,,7.3163,8268.5,3.93,,4502
0,13.5499,1.795,1180,6.24633,9.7298,6209,4.09,1.63,660
0,4.43651,3.365,1520,19.9664,8.7823,7101.9,3.91,2.32,2653
1,3.372877,2.63426,17163.60419,14.201803,12.1893,6050,4.45061,1.02,1270.187448
1,8.34998,1.836,16680,11.1424,10.1429,4236,4.52,0.74,588
1,4.0686405,1.8373729,2650.095001,3.7548333,10.1429,4236,4.52,0.741921,772.378302
2,0.5860366,0.8098934,410.5241553,4.906408,9.2872,5579,3.67,2.39803,3263.672181
0,1.5502952,2.938,411,3.34528,9.2293,7851,4.17,1.86,2839
0,1.80709,3.297,450,4.86242,9.11458,6244,3.84,2.2,2569
0,18.6922101,7.765,11126,18.1458,9.03609,6277,4.09,1.65,1141
1,8.0277326,4.284,5705,9.06883,9.02855,5962.7,4.38,1.15,1106
1,12.5187279,5.38,2320,5.58857,8.9361,5729,4.47,0.98,1393
1,6.2586065,3.201,813,2.51593,8.9361,5729,4.47,0.98,1087
1,26.3208756,4.414,800,2.71349,8.9361,5729,4.47,0.98,631
1,18.795547,4.3425576,470.6731965,2.1597669,8.9361,5729,4.47,0.977727,672.9826313
2,1.3206356,1.6000996,1052.4256,34.7561624,9.00558,4919.6,,6.3070302,1982.71421
0,0.64971,2.076,620,6.23181,8.90601,9994,4.02,2.59,4731
2,4.4780798,4.513,1054,11.3678,8.86193,7947,4.2,1.83,3715
1,3.2887898,3.4367717,7005.72479,10.5135877,10.6103,5800,4.28004,1.24175,1338.839265
0,13.7431084,2.285,5688,12.05,8.88797,5941.5,,1.34,844
0,16.9487087,4.2887767,156467.548,45.2204505,8.8523,5894.7,4.37,1.1179,758.5937679
0,3.3686634,3.012,3288,42.2321,8.64028,7518,3.82,2.68,2775
0,11.2071839,4.366,3276,17.4989,8.63287,6152,3.84,2.24,1487
1,4.8878037,2.184,4279,5.29152,8.5077,4757.3,4.56,0.76,810
0,2.97164,1.534,7350,,8.5011,8562.5,,,2076
0,0.660179,1.6349369,473.0939303,6.1672487,8.40386,8598.7,4.1,2.62432,5717.153248
0,10.9278415,2.468,2743,49.1695,8.36544,6259,3.59,2.92,1129
1,5.5514888,4.335,9493,15.8043,7.9179,6403.9,4.16,1.55,1482
